RfamID	CMname	Description	NumHairpins	Categories
RF00326	snoZ155	Small_nucleolar_RNA_Z155	1	Gene;snRNA;snoRNA;CD-box;
RF00327	snoZ194	Small_nucleolar_RNA_Z194	2	Gene;snRNA;snoRNA;CD-box;
RF00328	snoZ161_228	Small_nucleolar_RNA_Z161/Z228	1	Gene;snRNA;snoRNA;CD-box;
RF00329	snoZ162	Small_nucleolar_RNA_Z162	1	Gene;snRNA;snoRNA;CD-box;
RF00330	snoZ43	Small_nucleolar_RNA_Z43	1	Gene;snRNA;snoRNA;CD-box;
RF00331	snoZ169	Small_nucleolar_RNA_Z169	1	Gene;snRNA;snoRNA;CD-box;
RF00332	snoZ266	Small_nucleolar_RNA_Z266	1	Gene;snRNA;snoRNA;CD-box;
RF00333	snoZ157	Small_nucleolar_RNA_Z157/R69/R10	1	Gene;snRNA;snoRNA;CD-box;
RF00334	SNORA3	Small_nucleolar_RNA_SNORA3/SNORA45_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00335	snoZ13_snr52	Small_nucleolar_RNA_Z13/snr52	1	Gene;snRNA;snoRNA;CD-box;
RF00336	snoJ26	Small_nucleolar_RNA_J26	1	Gene;snRNA;snoRNA;CD-box;
RF00337	snoZ112	Small_nucleolar_RNA_Z112	1	Gene;snRNA;snoRNA;CD-box;
RF00338	snoR53	Small_nucleolar_RNA_snR53	1	Gene;snRNA;snoRNA;CD-box;
RF00339	snoR60	Small_nucleolar_RNA_snoR60	1	Gene;snRNA;snoRNA;CD-box;
RF00340	SNORA36	Small_nucleolar_RNA_SNORA36_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00341	snoZ39	Small_nucleolar_RNA_Z39	1	Gene;snRNA;snoRNA;CD-box;
RF00342	snoZ40	Small_nucleolar_RNA_Z40	1	Gene;snRNA;snoRNA;CD-box;
RF00343	snoZ122	Small_nucleolar_RNA_Z122	1	Gene;snRNA;snoRNA;CD-box;
RF00344	snoZ267	Small_nucleolar_RNA_Z267	1	Gene;snRNA;snoRNA;CD-box;
RF00345	snoR1	Small_nucleolar_RNA_snoR1	1	Gene;snRNA;snoRNA;CD-box;
RF00348	snoR9_plant	Small_nucleolar_RNA_snoR9	1	Gene;snRNA;snoRNA;CD-box;
RF00349	snoR11	Small_nucleolar_RNA_R11/Z151	1	Gene;snRNA;snoRNA;CD-box;
RF00350	snoZ152	Small_nucleolar_RNA_Z152/R70/R12/	1	Gene;snRNA;snoRNA;CD-box;
RF00351	snoR20	Small_nucleolar_RNA_R20	1	Gene;snRNA;snoRNA;CD-box;
RF00352	snoR21	Small_nucleolar_RNA_R21	1	Gene;snRNA;snoRNA;CD-box;
RF00353	snoR31_Z110_Z27	Small_nucleolar_RNA_snoR31/Z110/Z27	1	Gene;snRNA;snoRNA;CD-box;
RF00355	snoR28	Small_nucleolar_RNA_snoR28	1	Gene;snRNA;snoRNA;CD-box;
RF00356	snoR32_R81	Small_nucleolar_RNA_R32/R81/Z41	1	Gene;snRNA;snoRNA;CD-box;
RF00357	snoR44_J54	Small_nucleolar_RNA_R44/J54/Z268_family	1	Gene;snRNA;snoRNA;CD-box;
RF00358	snoZ101	Small_nucleolar_RNA_Z101	1	Gene;snRNA;snoRNA;CD-box;
RF00359	snoZ102_R77	Small_nucleolar_RNA_Z102/R77	1	Gene;snRNA;snoRNA;CD-box;
RF00360	snoZ107_R87	Small_nucleolar_RNA_Z107/R87	1	Gene;snRNA;snoRNA;CD-box;
RF00361	snoZ119	Small_nucleolar_RNA_Z119	2	Gene;snRNA;snoRNA;CD-box;
RF00362	Pospi_RY	Pospiviroid_RY_motif_stem_loop	1	Cis-reg;
RF00363	mir-BART1	mir-BART1_microRNA_precursor_family	1	Gene;miRNA;
RF00364	mir-BART2	mir-BART2_microRNA_precursor_family	1	Gene;miRNA;
RF00365	mir-BHRF1-1	mir-BHRF1-1_microRNA_precursor_family	1	Gene;miRNA;
RF00366	mir-BHRF1-2	mir-BHRF1-2_microRNA_precursor_family	1	Gene;miRNA;
RF00367	mir-BHRF1-3	mir-BHRF1-3_microRNA_precursor_family	1	Gene;miRNA;
RF00368	sroB	sroB_RNA	2	Gene;sRNA;
RF00369	sroC	sroC_RNA	2	Gene;sRNA;
RF00370	sroD	sroD_RNA	2	Gene;sRNA;
RF00371	sroE	sroE_RNA	2	Gene;sRNA;
RF00372	sroH	sroH_RNA	5	Gene;sRNA;
RF00373	RNaseP_arch	Archaeal_RNase_P	5	Gene;ribozyme;
RF00374	Gammaretro_CES	Gammaretrovirus_core_encapsidation_signal	3	Cis-reg;
RF00375	HIV_PBS	HIV_primer_binding_site_(PBS)	2	Cis-reg;
RF00376	HIV_GSL3	HIV_gag_stem_loop_3_(GSL3)	1	Cis-reg;
RF00377	snoU6-53	Small_nucleolar_RNA_U6-53/MBII-28	1	Gene;snRNA;snoRNA;CD-box;
RF00378	Qrr	Qrr_RNA	3	Gene;sRNA;
RF00379	ydaO-yuaA	ydaO/yuaA_leader	4	Cis-reg;
RF00380	ykoK	ykoK_leader	3	Cis-reg;
RF00381	Antizyme_FSE	Antizyme_RNA_frameshifting_stimulation_element	1	Cis-reg;frameshift_element;
RF00382	DnaX	DnaX_ribosomal_frameshifting_element	1	Cis-reg;frameshift_element;
RF00383	IS1222_FSE	Insertion_sequence_IS1222_ribosomal_frameshifting_element	2	Cis-reg;frameshift_element;
RF00384	Pox_AX_element	Poxvirus_AX_element_late_mRNA_cis-regulatory_element	2	Cis-reg;
RF00385	IBV_D-RNA	Infectious_bronchitis_virus_D-RNA	1	Cis-reg;
RF00386	Entero_5_CRE	Enterovirus_5'_cloverleaf_cis-acting_replication_element	3	Cis-reg;
RF00387	IRES_FGF1	FGF-1_internal_ribosome_entry_site_(IRES)	3	Cis-reg;IRES;
RF00388	Anti-Q_RNA	Anti-Q_RNA	3	Gene;antisense;
RF00389	satBaMV_CRE	Bamboo_mosaic_virus_satellite_RNA_cis-regulatory_element	3	Cis-reg;
RF00390	UPSK	UPSK_RNA	1	Cis-reg;
RF00391	RtT	RtT_RNA	2	Cis-reg;
RF00392	SNORA5	Small_nucleolar_RNA_SNORA5	2	Gene;snRNA;snoRNA;HACA-box;
RF00393	SNORA8	Small_nucleolar_RNA_SNORA8	2	Gene;snRNA;snoRNA;HACA-box;
RF00394	SNORA4	Small_nucleolar_RNA_SNORA4	2	Gene;snRNA;snoRNA;HACA-box;
RF00396	SNORA13	Small_nucleolar_RNA_SNORA13	2	Gene;snRNA;snoRNA;HACA-box;
RF00397	SNORA14	Small_nucleolar_RNA_SNORA14	2	Gene;snRNA;snoRNA;HACA-box;
RF00398	SNORA15	Small_nucleolar_RNA_SNORA15	2	Gene;snRNA;snoRNA;HACA-box;
RF00399	SNORA24	Small_nucleolar_RNA_SNORA24	2	Gene;snRNA;snoRNA;HACA-box;
RF00400	SNORA28	Small_nucleolar_RNA_SNORA28	2	Gene;snRNA;snoRNA;HACA-box;
RF00401	SNORA20	Small_nucleolar_RNA_SNORA20	2	Gene;snRNA;snoRNA;HACA-box;
RF00402	SNORA25	Small_nucleolar_RNA_SNORA25	2	Gene;snRNA;snoRNA;HACA-box;
RF00403	SNORA41	Small_nucleolar_RNA_SNORA41	2	Gene;snRNA;snoRNA;HACA-box;
RF00404	SNORA46	Small_nucleolar_RNA_SNORA46	2	Gene;snRNA;snoRNA;HACA-box;
RF00405	SNORA44	Small_nucleolar_RNA_SNORA44	2	Gene;snRNA;snoRNA;HACA-box;
RF00406	SNORA42	Small_nucleolar_RNA_SNORA42/SNORA80_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00407	SNORA50	Small_nucleolar_RNA_SNORA50	2	Gene;snRNA;snoRNA;HACA-box;
RF00408	SNORA1	Small_nucleolar_RNA_SNORA1	2	Gene;snRNA;snoRNA;HACA-box;
RF00409	SNORA7	Small_nucleolar_RNA_SNORA7	2	Gene;snRNA;snoRNA;HACA-box;
RF00410	SNORA2	Small_nucleolar_RNA_SNORA2/SNORA34_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00411	SNORA9	Small_nucleolar_RNA_SNORA9	2	Gene;snRNA;snoRNA;HACA-box;
RF00412	SNORA21	Small_nucleolar_RNA_SNORA21	2	Gene;snRNA;snoRNA;HACA-box;
RF00413	SNORA19	Small_nucleolar_RNA_SNORA19	2	Gene;snRNA;snoRNA;HACA-box;
RF00414	SNORA22	Small_nucleolar_RNA_SNORA22	3	Gene;snRNA;snoRNA;HACA-box;
RF00415	SNORA30	Small_nucleolar_RNA_SNORA30/SNORA37_family	2	Gene;snRNA;snoRNA;HACA-box;
RF00416	SNORA43	Small_nucleolar_RNA_SNORA43	2	Gene;snRNA;snoRNA;HACA-box;
RF00417	SNORA56	Small_nucleolar_RNA_SNORA56	2	Gene;snRNA;snoRNA;HACA-box;
RF00418	SNORA58	Small_nucleolar_RNA_SNORA58	2	Gene;snRNA;snoRNA;HACA-box;
RF00419	SNORA52	Small_nucleolar_RNA_SNORA52	2	Gene;snRNA;snoRNA;HACA-box;
RF00420	SNORA61	Small_nucleolar_RNA_SNORA61	2	Gene;snRNA;snoRNA;HACA-box;
RF00421	SNORA32	Small_nucleolar_RNA_SNORA32	2	Gene;snRNA;snoRNA;HACA-box;
RF00422	SCARNA24	Small_Cajal_body_specific_RNA_24	2	Gene;snRNA;snoRNA;scaRNA;
RF00423	SCARNA4	Small_Cajal_body_specific_RNA_4	2	Gene;snRNA;snoRNA;scaRNA;
RF00424	SCARNA16	Small_Cajal_body_specific_RNA_16	3	Gene;snRNA;snoRNA;scaRNA;
RF00425	SNORA18	Small_nucleolar_RNA_SNORA18	3	Gene;snRNA;snoRNA;HACA-box;
RF00426	SCARNA15	Small_Cajal_body_specific_RNA_15	2	Gene;snRNA;snoRNA;scaRNA;
RF00427	SCARNA23	Small_Cajal_body_specific_RNA_23	2	Gene;snRNA;snoRNA;scaRNA;
RF00428	SNORA38	Small_nucleolar_RNA_SNORA38	2	Gene;snRNA;snoRNA;HACA-box;
RF00429	SNORA29	Small_nucleolar_RNA_SNORA29	2	Gene;snRNA;snoRNA;HACA-box;
RF00430	SNORA54	Small_nucleolar_RNA_SNORA54	2	Gene;snRNA;snoRNA;HACA-box;
RF00431	SNORA55	Small_nucleolar_RNA_SNORA55	2	Gene;snRNA;snoRNA;HACA-box;
RF00432	SNORA51	Small_nucleolar_RNA_SNORA51	2	Gene;snRNA;snoRNA;HACA-box;
RF00433	Hsp90_CRE	Hsp90_cis-regulatory_element	2	Cis-reg;thermoregulator;
RF00434	BTE	Luteovirus_cap-independent_translation_element_(BTE)	3	Cis-reg;
RF00435	ROSE	Repression_of_heat_shock_gene_expression_(ROSE)_element	4	Cis-reg;thermoregulator;
RF00436	UnaL2	UnaL2_LINE_3'_element	1	Cis-reg;
RF00437	HLE	Hairy_RNA_localisation_element_(HLE)	2	Cis-reg;
RF00438	SNORA33	Small_nucleolar_RNA_SNORA33	2	Gene;snRNA;snoRNA;HACA-box;
RF00439	SNORD87	Small_nucleolar_RNA_SNORD87	1	Gene;snRNA;snoRNA;CD-box;
RF00440	SNORD37	Small_nucleolar_RNA_SNORD37	1	Gene;snRNA;snoRNA;CD-box;
RF00441	snoZ242	Small_nucleolar_RNA_Z242	1	Gene;snRNA;snoRNA;CD-box;
RF00442	ykkC-yxkD	ykkC-yxkD_leader	2	Cis-reg;
RF00443	SNORA27	Small_nucleolar_RNA_SNORA27	2	Gene;snRNA;snoRNA;HACA-box;
RF00444	PrrF	PrrF_RNA	4	Gene;sRNA;
RF00445	mir-399	mir-399_microRNA_precursor_family	1	Gene;miRNA;
RF00446	mir-133	mir-133_microRNA_precursor_family	1	Gene;miRNA;
RF00447	IRES_Kv1_4	Voltage-gated_potassium-channel_Kv1.4_IRES	2	Cis-reg;IRES;
RF00448	IRES_EBNA	Epstein-Barr_virus_nuclear_antigen_(EBNA)_IRES	5	Cis-reg;IRES;
RF00449	IRES_HIF1	HIF-1_alpha_IRES	6	Cis-reg;IRES;
RF00451	mir-395	mir-395_microRNA_precursor_family	1	Gene;miRNA;
RF00452	mir-172	mir-172_microRNA_precursor_family	1	Gene;miRNA;
RF00453	Cardiovirus_CRE	Cardiovirus_cis-acting_replication_element_(CRE)	1	Cis-reg;
RF00454	p27_CRE	p27_cis-regulatory_element	2	Cis-reg;
RF00455	mir-15	mir-15_microRNA_precursor_family	1	Gene;miRNA;
RF00456	mir-34	mir-34_microRNA_precursor_family	1	Gene;miRNA;
RF00457	IRES_mnt	Mnt_IRES	4	Cis-reg;IRES;
RF00458	IRES_Cripavirus	Cripavirus_internal_ribosome_entry_site_(IRES)	4	Cis-reg;IRES;
RF00459	MPMV_package	Mason-Pfizer_monkey_virus_packaging_signal	7	Cis-reg;
RF00460	U1A_PIE	U1A_polyadenylation_inhibition_element_(PIE)	1	Cis-reg;
RF00461	IRES_VEGF_A	Vascular_endothelial_growth_factor_(VEGF)_IRES_A	3	Cis-reg;IRES;
RF00462	IRES_APC	APC_internal_ribosome_entry_site_(IRES)	1	Cis-reg;IRES;
RF00463	ApoB_5_CRE	Apolipoprotein_B_(apoB)_5'_UTR_cis-regulatory_element	4	Cis-reg;
RF00464	mir-92	mir-92_microRNA_precursor_family	1	Gene;miRNA;
RF00465	JEV_hairpin	Japanese_encephalitis_virus_(JEV)_hairpin_structure	1	Cis-reg;
RF00467	RSV_PBS	Rous_sarcoma_virus_(RSV)_primer_binding_site_(PBS)	1	Cis-reg;
RF00468	HCV_SLVII	Hepatitis_C_virus_stem-loop_VII	1	Cis-reg;
RF00469	HCV_SLIV	Hepatitis_C_stem-loop_IV	1	Cis-reg;
RF00470	Toga_5_CRE	Togavirus_5'_plus_strand_cis-regulatory_element	4	Cis-reg;
RF00471	snosnR48	Small_nucleolar_RNA_snR48	1	Gene;snRNA;snoRNA;CD-box;
RF00472	snosnR55	Small_nucleolar_RNA_snR55/Z10	1	Gene;snRNA;snoRNA;CD-box;
RF00473	snosnR54	Small_nucleolar_RNA_snR54	1	Gene;snRNA;snoRNA;CD-box;
RF00474	snosnR57	Small_nucleolar_RNA_snR57	1	Gene;snRNA;snoRNA;CD-box;
RF00475	snosnR69	Small_nucleolar_RNA_snR69	1	Gene;snRNA;snoRNA;CD-box;
RF00476	snosnR61	Small_nucleolar_RNA_snR61/Z1/Z11	1	Gene;snRNA;snoRNA;CD-box;
RF00477	snosnR66	Small_nucleolar_RNA_snR66	1	Gene;snRNA;snoRNA;CD-box;
RF00478	SCARNA6	Small_Cajal_body_specific_RNA_6	2	Gene;snRNA;snoRNA;scaRNA;
RF00479	snosnR71	Small_nucleolar_RNA_snR71	1	Gene;snRNA;snoRNA;CD-box;
RF00480	HIV_FE	HIV_Ribosomal_frameshift_signal	1	Cis-reg;frameshift_element;
RF00481	HCV_X3	Hepatitis_C_virus_3'X_element	3	Cis-reg;
RF00482	snoF1_F2	Small_nucleolar_RNA_F1/F2/snoR5a	2	Gene;snRNA;snoRNA;HACA-box;
RF00483	IRES_IGF2	Insulin-like_growth_factor_II_IRES	4	Cis-reg;IRES;
RF00484	IRES_Cx32	Connexin-32_internal_ribosome_entry_site_(IRES)	2	Cis-reg;IRES;
RF00485	K_chan_RES	Potassium_channel_RNA_editing_signal	1	Cis-reg;
RF00486	mir-129	mir-129_microRNA_precursor_family	1	Gene;miRNA;
RF00487	IRES_Cx43	Connexin-43_internal_ribosome_entry_site_(IRES)	4	Cis-reg;IRES;
RF00488	U1_yeast	Yeast_U1_spliceosomal_RNA	6	Gene;snRNA;splicing;
RF00489	ctRNA_p42d	ctRNA	1	Gene;antisense;
RF00490	S-element	S-element	1	Cis-reg;
RF00491	SVLPA	Simian_virus_40_late_polyadenylation_signal_(SVLPA)	1	Cis-reg;
RF00492	SCARNA17	small_Cajal_body-specific_RNA_17	1	Gene;snRNA;snoRNA;scaRNA;
RF00493	snoU2-30	Small_nucleolar_RNA_U2-30	1	Gene;snRNA;snoRNA;CD-box;
RF00494	snoU2_19	Small_nucleolar_RNA_U2-19	1	Gene;snRNA;snoRNA;CD-box;
RF00495	IRES_Hsp70	Heat_shock_protein_70_(Hsp70)_internal_ribosome_entry_site_(IRES)	3	Cis-reg;IRES;
RF00496	Corona_SL-III	Coronavirus_SL-III_cis-acting_replication_element_(CRE)	1	Cis-reg;
RF00498	EAV_LTH	Equine_arteritis_virus_leader_TRS_hairpin_(LTH)	1	Cis-reg;
RF00499	Parecho_CRE	Human_parechovirus_1_(HPeV1)_cis_regulatory_element_(CRE)	2	Cis-reg;
RF00500	TCV_H5	Turnip_crinkle_virus_(TCV)_repressor_of_minus_strand_synthesis_H5	1	Cis-reg;
RF00501	Rota_CRE	Rotavirus_cis-acting_replication_element_(CRE)	1	Cis-reg;
RF00502	TCV_Pr	Turnip_crinkle_virus_(TCV)_core_promoter_hairpin_(Pr)	1	Cis-reg;
RF00503	RNAIII	RNAIII	14	Gene;
RF00504	Glycine	Glycine_riboswitch	2	Cis-reg;riboswitch;
RF00505	RydC	RydC_RNA	1	Gene;sRNA;
RF00506	Thr_leader	Threonine_operon_leader	2	Cis-reg;leader;
RF00507	Corona_FSE	Coronavirus_frameshifting_stimulation_element	1	Cis-reg;frameshift_element;
RF00509	snosnR64	Small_nucleolar_RNA_snR64	1	Gene;snRNA;snoRNA;CD-box;
RF00510	Tombus_IRE	Tombusvirus_internal_replication_element_(IRE)	1	Cis-reg;
RF00511	IRES_KSHV	Kaposi's_sarcoma-associated_herpesvirus_internal_ribosome_entry_site_(IRES)	4	Cis-reg;IRES;
RF00512	Leu_leader	Leucine_operon_leader	2	Cis-reg;leader;
RF00513	Trp_leader	Tryptophan_operon_leader	2	Cis-reg;leader;
RF00514	His_leader	Histidine_operon_leader	3	Cis-reg;leader;
RF00515	PyrR	PyrR_binding_site	3	Cis-reg;
RF00516	ylbH	ylbH_leader	3	Cis-reg;
RF00517	serC	serC_leader	2	Cis-reg;
RF00518	speF	speF_leader	2	Cis-reg;
RF00519	suhB	suhB	2	Gene;sRNA;
RF00520	ybhL	ybhL_leader	1	Cis-reg;
RF00521	SAM_alpha	SAM_riboswitch_(alpha-proteobacteria)	1	Cis-reg;riboswitch;
RF00522	PreQ1	PreQ1_riboswitch	1	Cis-reg;riboswitch;
RF00523	Prion_pknot	Prion_pseudoknot	1	Cis-reg;
RF00524	R2_retro_el	R2_RNA_element	3	Cis-reg;
RF00525	Flavivirus_DB	Flavivirus_DB_element	2	Cis-reg;
RF00526	snoMe28S-U3344	Small_nucleolar_RNA_Me28S-U3344	1	Gene;snRNA;snoRNA;CD-box;
RF00527	snoMe28S-G3255	Small_nucleolar_RNA_Me28S-Gm3255	1	Gene;snRNA;snoRNA;CD-box;
RF00528	snoMe28S-Gm1083	Small_nucleolar_RNA_Me28S-Gm1083	1	Gene;snRNA;snoRNA;CD-box;
RF00529	snoMe28S-Am2589	Small_nucleolar_RNA_Me28S-Am2589	1	Gene;snRNA;snoRNA;CD-box;
RF00530	snoMe28S-Cm2645	Small_nucleolar_RNA_Me28S-Cm2645	1	Gene;snRNA;snoRNA;CD-box;
RF00531	snoMe28S-Gm3113	Small_nucleolar_RNA_Me28S-Gm3113	1	Gene;snRNA;snoRNA;CD-box;
RF00532	snoMe18S-Um1356	Small_nucleolar_RNA_Me18S-Um1356	1	Gene;snRNA;snoRNA;CD-box;
RF00533	snoMe18S-Gm1358	Small_nucleolar_RNA_Me18S-Gm1358	1	Gene;snRNA;snoRNA;CD-box;
RF00534	SgrS	SgrS_RNA	4	Gene;antisense;
RF00535	snoMe28S-Am982	Small_nucleolar_RNA_Me28S-Am982	1	Gene;snRNA;snoRNA;CD-box;
RF00536	snoMe28S-Cm3227	Small_nucleolar_RNA_Me28S-Cm3227	1	Gene;snRNA;snoRNA;CD-box;
RF00537	snoMe28S-Am2634	Small_nucleolar_RNA_Me28S-Am2634	1	Gene;snRNA;snoRNA;CD-box;
RF00538	snoCD11	Small_nucleolar_RNA_CD11	1	Gene;snRNA;snoRNA;CD-box;
RF00539	snoMe28S-Cm788	Small_nucleolar_RNA_Me28S-Cm788	1	Gene;snRNA;snoRNA;CD-box;
RF00540	snopsi18S-1854	Small_nucleolar_RNA_psi18S-1854	2	Gene;snRNA;snoRNA;HACA-box;
RF00541	snopsi28S-2876	Small_nucleolar_RNA_psi28S-2876	2	Gene;snRNA;snoRNA;HACA-box;
RF00542	snopsi28S-1192	Small_nucleolar_RNA_psi28S-1192	2	Gene;snRNA;snoRNA;HACA-box;
RF00543	snopsi18S-1377	Small_nucleolar_RNA_psi18S-1377	2	Gene;snRNA;snoRNA;HACA-box;
RF00544	snopsi28S-3327	Small_nucleolar_RNA_psi28S-3327	2	Gene;snRNA;snoRNA;HACA-box;
RF00545	snopsi18S-841	Small_nucleolar_RNA_psi18S-841/snoR66	2	Gene;snRNA;snoRNA;HACA-box;
RF00546	snopsi28S-3316	Small_nucleolar_RNA_psi28S-3316	2	Gene;snRNA;snoRNA;HACA-box;
RF00547	IRES_TrkB	TrkB_IRES	6	Cis-reg;IRES;
RF00548	U11	U11_spliceosomal_RNA	4	Gene;snRNA;splicing;
RF00549	IRES_c-sis	c-sis_internal_ribosome_entry_site_(IRES)	10	Cis-reg;IRES;
RF00550	HepE_CRE	Hepatitis_E_virus_cis-reactive_element	2	Cis-reg;
RF00551	bicoid_3	Bicoid_3'-UTR_regulatory_element	3	Cis-reg;
RF00552	rncO	rncO	3	Cis-reg;
RF00553	SCARNA1	Small_Cajal_body_specific_RNA_1	3	Gene;snRNA;snoRNA;scaRNA;
RF00554	SNORA48	Small_nucleolar_RNA_SNORA48	2	Gene;snRNA;snoRNA;HACA-box;
RF00555	L13_leader	Ribosomal_protein_L13_leader	1	Cis-reg;leader;
RF00556	L19_leader	Ribosomal_protein_L19_leader	1	Cis-reg;leader;
RF00557	L10_leader	Ribosomal_protein_L10_leader	2	Cis-reg;leader;
RF00558	L20_leader	Ribosomal_protein_L20_leader	3	Cis-reg;leader;
RF00559	L21_leader	Ribosomal_protein_L21_leader	1	Cis-reg;leader;
RF00560	SNORA17	Small_nucleolar_RNA_SNORA17	2	Gene;snRNA;snoRNA;HACA-box;
RF00561	SNORA40	Small_nucleolar_RNA_SNORA40	2	Gene;snRNA;snoRNA;HACA-box;
RF00562	SNORA49	Small_nucleolar_RNA_SNORA49	2	Gene;snRNA;snoRNA;HACA-box;
RF00563	SNORA53	Small_nucleolar_RNA_SNORA53	3	Gene;snRNA;snoRNA;HACA-box;
RF00564	SCARNA11	Small_Cajal_body_specific_RNA_11	2	Gene;snRNA;snoRNA;scaRNA;
RF00565	SCARNA3	Small_Cajal_body_specific_RNA_3	2	Gene;snRNA;snoRNA;scaRNA;
RF00566	SNORA35	Small_nucleolar_RNA_SNORA35	2	Gene;snRNA;snoRNA;HACA-box;
RF00567	SNORD17	Small_nucleolar_RNA_SNORD17	3	Gene;snRNA;snoRNA;CD-box;
RF00568	SNORA26	Small_nucleolar_RNA_SNORA26	2	Gene;snRNA;snoRNA;HACA-box;
RF00569	SNORD19	Small_nucleolar_RNA_SNORD19	1	Gene;snRNA;snoRNA;CD-box;
RF00570	SNORD64	Small_Nucleolar_RNA_SNORD64	1	Gene;snRNA;snoRNA;CD-box;
RF00571	SNORD65	Small_nucleolar_RNA_SNORD65	1	Gene;snRNA;snoRNA;CD-box;
RF00572	SNORD66	Small_nucleolar_RNA_SNORD66	1	Gene;snRNA;snoRNA;CD-box;
RF00573	SNORD67	Small_nucleolar_RNA_SNORD67	1	Gene;snRNA;snoRNA;CD-box;
RF00574	SNORD69	Small_nucleolar_RNA_SNORD69	1	Gene;snRNA;snoRNA;CD-box;
RF00575	SNORD70	Small_nucleolar_RNA_SNORD70	1	Gene;snRNA;snoRNA;CD-box;
RF00576	SNORD71	Small_nucleolar_RNA_SNORD71	2	Gene;snRNA;snoRNA;HACA-box;
RF00577	SNORD72	Small_nucleolar_RNA_SNORD72	1	Gene;snRNA;snoRNA;CD-box;
RF00578	SNORD89	Small_nucleolar_RNA_SNORD89	3	Gene;snRNA;snoRNA;CD-box;
RF00579	SNORD90	Small_nucleolar_RNA_SNORD90	1	Gene;snRNA;snoRNA;CD-box;
RF00580	SNORD91	Small_nucleolar_RNA_SNORD91_family	1	Gene;snRNA;snoRNA;CD-box;
RF00581	SNORD12	Small_nucleolar_SNORD12/SNORD106	1	Gene;snRNA;snoRNA;CD-box;
RF00582	SCARNA14	Small_Cajal_body_specific_RNA_14	2	Gene;snRNA;snoRNA;scaRNA;
RF00584	SNORD105	Small_nucleolar_RNA_SNORD105	1	Gene;snRNA;snoRNA;CD-box;
RF00586	SNORA12	Small_nucleolar_RNA_SNORA12	3	Gene;snRNA;snoRNA;HACA-box;
RF00588	SNORD41	Small_nucleolar_RNA_SNORD41	1	Gene;snRNA;snoRNA;CD-box;
RF00591	SNORD77	Small_nucleolar_RNA_SNORD77	2	Gene;snRNA;snoRNA;CD-box;
RF00592	SNORD78	Small_nucleolar_RNA_SNORD78	1	Gene;snRNA;snoRNA;CD-box;
RF00593	snoU83B	Small_nucleolar_RNA_U83B	1	Gene;snRNA;snoRNA;CD-box;
RF00594	SNORD86	Small_nucleolar_RNA_SNORD86	1	Gene;snRNA;snoRNA;CD-box;
RF00598	SNORA76	Small_nucleolar_RNA_SNORA76	2	Gene;snRNA;snoRNA;HACA-box;
RF00599	SNORA77	Small_nucleolar_RNA_SNORA77	2	Gene;snRNA;snoRNA;HACA-box;
RF00600	SNORA79	Small_nucleolar_RNA_SNORA79	2	Gene;snRNA;snoRNA;HACA-box;
RF00601	SCARNA20	Small_Cajal_body_specific_RNA_20	2	Gene;snRNA;snoRNA;scaRNA;
RF00602	SCARNA21	Small_Cajal_body_specific_RNA_21	2	Gene;snRNA;snoRNA;scaRNA;
RF00603	SNORD23	Small_nucleolar_RNA_SNORD23	1	Gene;snRNA;snoRNA;CD-box;
RF00604	SNORD88	Small_nucleolar_RNA_SNORD88	1	Gene;snRNA;snoRNA;CD-box;
RF00606	SNORD93	Small_Nucleolar_RNA_SNORD93	1	Gene;snRNA;snoRNA;CD-box;
RF00607	SNORD98	Small_Nucleolar_RNA_SNORD98	1	Gene;snRNA;snoRNA;CD-box;
RF00608	SNORD99	Small_Nucleolar_RNA_SNORD99	1	Gene;snRNA;snoRNA;CD-box;
RF00609	SNORD100	Small_Nucleolar_RNA_SNORD100	1	Gene;snRNA;snoRNA;CD-box;
RF00610	SNORD110	Small_Nucleolar_RNA_SNORD110	1	Gene;snRNA;snoRNA;CD-box;
RF00611	SNORD111	Small_Nucleolar_RNA_SNORD111	1	Gene;snRNA;snoRNA;CD-box;
RF00612	SNORD75	Small_nucleolar_RNA_SNORD75	1	Gene;snRNA;snoRNA;CD-box;
RF00613	SNORD94	Small_Nucleolar_RNA_SNORD94	1	Gene;snRNA;snoRNA;CD-box;
RF00614	SNORA11	Small_nucleolar_RNA_SNORA11	2	Gene;snRNA;snoRNA;HACA-box;
RF00615	LhrA	Listeria_Hfq_binding_LhrA	4	Gene;sRNA;
RF00616	LhrC	Listeria_Hfq_binding_LhrC	2	Gene;sRNA;
RF00617	cHP	flavivirus_capsid_hairpin_cHP	1	Cis-reg;
RF00618	U4atac	U4atac_minor_spliceosomal_RNA	4	Gene;snRNA;splicing;
RF00619	U6atac	U6atac_minor_spliceosomal_RNA	2	Gene;snRNA;splicing;
RF00620	HCV_ARF_SL	Hepatitis_C_alternative_reading_frame_stem-loop	2	Cis-reg;
RF00621	CoTC_ribozyme	Beta-globin_co-transcriptional_cleavage_ribozyme	3	Gene;ribozyme;
RF00622	CPEB3_ribozyme	Mammalian_CPEB3_ribozyme	2	Gene;ribozyme;
RF00623	P1	Pseudomonas_sRNA_P1	2	Gene;
RF00624	P9	Pseudomonas_sRNA_P9	2	Gene;
